,#Karmn,Name
342,J03375+178N,LP 413-018 Aab
343,J03375+178S,LP 413-019 Bab
344,J03394+249,KP Tau
345,J03396+254E,Wolf 204
346,J03396+254W,Wolf 205
347,J03397+334,HD 278874 B
348,J03416+552,TYC 3720-426-1
349,J03430+459,NLTT 11633
350,J03433-095,G 160-019
351,J03437+166,BD+16 502B
352,J03438+166,BD+16 502A
353,J03445+349,HD 278968
354,J03454+729,NLTT 11646
355,J03455+703,2M J03453188+7018002
356,J03459+147,NLTT 11771
357,J03463+262,HD 23453
358,J03467+821,TYC 4521-1342-1
359,J03467-112,LP 713-028
360,J03473+086,LTT 11262
361,J03473-019,G 080-021
362,J03479+027,Ross 588
363,J03480+686,BD+68 278B
364,J03486+735,LP 031-218
365,J03505+634,G 246-050
366,J03507-060,GJ 1065
367,J03510+142,2M J03510078+1413398
368,J03510-008,LP 593-068
369,J03519+397,TYC 2868-639-1
370,J03526+170,Wolf 227
371,J03531+625,Ross 567
372,J03543-146,2M J03542008-1437388
373,J03544-091,StKM 1-430
374,J03548+163,LP 413-108
375,J03565+319,HAT 214-02089
376,J03567+039,Ross 23
377,J03574-011,BD-01 565B
378,J03586+520,Ross 24
379,J03588+125,G 007-014
380,J03598+260,Ross 873
381,J04011+513,Ross 25
382,J04056+057,[R78b] 256 AB
383,J04059+712E,LP 031-301
384,J04059+712W,LP 031-302 BC
385,J04061-055,2M J04060688-0534444
386,J04077+142,LP 474-123
387,J04079+142,NLTT 12593
388,J04081+743,LP 032-016
389,J04083+691,LP 031-433
390,J04086+336,HD 281621
391,J04093+057,NLTT 12648
392,J04108-128,LP 714-037 ABC
393,J04112+495,Ross 27
394,J04122+647,G 247-015
395,J04123+162,HG 7-124
396,J04129+526,Ross 28 AB
397,J04131+505,Ross 29
398,J04137+476,LSPM J0413+4737E
399,J04139+829,G 222-001
400,J04148+277,HG 8-1
401,J04153-076,omi02 Eri C
402,J04166-125,LP 714-058 AB
403,J04173+088,LTT 11392
404,J04177+410,LSPM J0417+4103
405,J04188+013,HIP 20122
406,J04191+097,2M J04190809+0944481
407,J04191-074,LP 654-039
408,J04198+425,LSR J0419+4233
409,J04199+364,Ross 592
410,J04205+815,2M J04203505+8131556
411,J04206+272,XEST 16-045
412,J04207+152,HG 7-172
413,J04218+213,G 008-029
414,J04219+213,K2-155
415,J04219+751,G 248-019
416,J04221+192,LP 415-636
417,J04224+036,RX J0422.4+0337
418,J04224+740,LP 031-339
419,J04225+105,LSPM J0422+1031
420,J04225+390,GJ 1070
421,J04227+205,LP 415-030
422,J04229+259,G 008-031
423,J04234+495,TYC 3337-1716-1
424,J04234+809,1RXS J042323.2+805511
